Channel,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25
Colors Marathi,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
Dhinchaak,,,,,,,,,,,,3.0,,,,,,,,,,,,,
Fakt Marathi,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Goldmines,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,
Pravah Picture,,,,,,,,,,,,,,,,,,,,,,,,,7.0
Shemaroo Marathibana,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Sony SAB,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
Star Plus,5.0,5.0,5.0,5.0,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,5.0,5.0
Star Pravah,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Star Sports 1 Hindi,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,
Star Utsav,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,
Zee Chitramandir,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Zee Marathi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
Zee TV,,,,,,,5.0,,,,,,,,,,,,,,,,,,
Zee Talkies,,,,,,,,,,,,,,,,,,,,,,,,,6.0
