Show,Channel,Type,Platform,Time
Aai Kuthe Kay Karte,Star Pravah,Fiction,Hotstar,19:30
Devmanus,Zee Marathi,Fiction,Zee5,22:30
Jeev Majha Guntala,Colors Marathi,Fiction,Voot,20:30
Maharashtrachi Hasyajatra,Sony Marathi,Non-Fiction,Sony Liv,21:00
Phulala Sugandh Maticha,Star Pravah,Fiction,Hotstar,20:30
Rang Maza Vegla,Star Pravah,Fiction,Hotstar,20:00
Ratris Khel Chale S3,Zee Marathi,Fiction,Zee5,23:00
Sukh Mhanje Nakki Kay Asta,Star Pravah,Fiction,Hotstar,21:30
Thipkyanchi Rangoli,Star Pravah,Fiction,Hotstar,22:00
Tujhya Ishqacha Naadkhula,Star Pravah,Fiction,Hotstar,23:00
