Show,Channel,Type,Platform,Time
Aai Kuthe Kay Karte,Star Pravah,Fiction,Hotstar,['19:30']
Devmanus 2,Zee Marathi,Fiction,Zee5,['22:30']
Majhi Tujhi Reshimgath,Zee Marathi,Fiction,Zee5,['20:30']
Man Udu Udu Jhala,Zee Marathi,Fiction,Zee5,['19:30']
Phulala Sugandh Maticha,Star Pravah,Fiction,Hotstar,['20:30']
Rang Majha Vegla,Star Pravah,Fiction,Hotstar,['20:00']
Sukh Mhanje Nakki Kay Asta,Star Pravah,Fiction,Hotstar,['21:30']
Swabhimaan,Star Pravah,Fiction,Hotstar,['18:30']
Thipkyanchi Rangoli,Star Pravah,Fiction,Hotstar,['22:00']
Yeu Kashi Tashi Me Nandayla,Zee Marathi,Fiction,Zee5,['20:00']
