Show,Channel,Type,Platform
Aai Kuthe Kay Karte,Star Pravah,Fiction,Hotstar
Aboli,Star Pravah,Fiction,Hotstar
Devmanus S2,Zee Marathi,Fiction,Zee5
Jai Jai Swami Samarth,Colors Marathi,Fiction,Voot
Lek Majhi Durga,Colors Marathi,Fiction,Voot
Majhi Tujhi Reshimgath,Zee Marathi,Fiction,Zee5
Man Jhala Bajind,Zee Marathi,Fiction,Zee5
Man Udu Udu Jhala,Zee Marathi,Fiction,Zee5
Masta Majedar Kitchen Kallakar,Zee Marathi,Non-Fiction,Zee5
Mulgi Zali Ho,Star Pravah,Fiction,Hotstar
Phulala Sugandh Maticha,Star Pravah,Fiction,Hotstar
Pinkycha Vijay Aso,Star Pravah,Fiction,Hotstar
Rang Majha Vegla,Star Pravah,Fiction,Hotstar
Sahakutumba Sahaparivar,Star Pravah,Fiction,Hotstar
Sukh Mhanje Nakki Kay Asta,Star Pravah,Fiction,Hotstar
Sundara Manamadhye Bharali,Colors Marathi,Fiction,Voot
Swabhimaan,Star Pravah,Fiction,Hotstar
Thipkyanchi Rangoli,Star Pravah,Fiction,Hotstar
Tu Tevha Tashi,Zee Marathi,Fiction,Zee5
Tujhya Majhya Sansarala Ani Kai Hava,Zee Marathi,Fiction,Zee5
