Show,Week 2,Week 7,Week 16,Week 10,Week 8,Week 6,Week 5,Week 12,Week 9,Week 13,Week 15,Week 14,Week 19
Aai Kuthe Kay Karte,,,,,,,,5.0,,,,,
Aai Mayeche Kavach,,,0.7,,,,,,,,,,
Aboli,,,,,3.4,,,,,3.0,,,
Balumamachya Navana Changbhala,,,,,,,,,,,0.4,,1.2
Devmanus S2,2.6,,1.1,1.8,3.0,,,,,,,,
Gatha Navanathanchi,,,0.2,,,,,,,,,,
Jai Jai Swami Samarth,,,,,,,,0.6,,,,0.3,
Jeev Majha Guntala,,,,,,,,,,,1.0,,
Lagnachi Bedi,,,,,,,,,,2.0,,,
Lek Majhi Durga,,,,,,,,0.4,,,,0.1,
Mahaminister,,,0.6,,,,,,,,,,
Majhi Tujhi Reshimgath,,,,,,4.4,,3.2,,,,,
Man Jhala Bajind,,,,1.3,1.2,,,,,,0.9,,
Man Udu Udu Jhala,3.1,3.6,2.7,,,,,,,,,,
Masta Majedar Kitchen Kallakar,2.2,,,,,,,,,,,,
Mulgi Zali Ho,,,,,,4.0,,,,,,,
Phulala Sugandh Maticha,,,,,,4.8,,,5.1,,,,
Pinkycha Vijay Aso,,,,1.7,,,,,,,,,
Raja Ranichi Ga Jodi,,,0.8,,,,,,,,,,1.3
Rang Majha Vegla,,,,,6.4,,,,,,,,
Sahakutumba Sahaparivar,2.9,,,4.4,,,,,,,,,
Sukh Mhanje Nakki Kay Asta,,,,,,,,,6.2,,,,
Sundara Manamadhye Bharali,,,1.0,,,,,0.8,,,,0.5,1.6
Swabhimaan,,4.2,,,,,,,,,,,
Swarajya Saudamini Tararani,,,0.4,,,,,,,,,,
Thipkyanchi Rangoli,,5.1,,,,,5.4,4.1,,,,,
Tu Tevha Tashi,,,2.1,,,,,2.8,,,2.5,,
Tujhya Majhya Sansarala Ani Kai Hava,1.1,1.0,1.0,1.1,0.9,1.1,,,,,,,
Tujhya Rupacha Chandana,,,,,,,,,,,0.5,,
