Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Aai Kuthe Kay Karte,1.0,1.0,2.0,3.0,2.0,1.0,1.0
Aboli,,,,,,,15.0
Chala Hawa Yeu Dya,,,,,,,18.0
Devmanus S2,7.0,8.0,10.0,9.0,9.0,9.0,9.0
Jeev Majha Guntala,,,,,,,16.0
Lagnachi Bedi,,,,,11.0,,17.0
Majhi Tujhi Reshimgath,5.0,5.0,5.0,2.0,4.0,4.0,4.0
Man Udu Udu Jhala,8.0,9.0,6.0,6.0,6.0,6.0,6.0
Masta Majedar Kitchen Kallakar,,,,,,,13.0
Me Honar Superstar Chote Ustad,,,,,,,20.0
Mulgi Zali Ho,,,9.0,,,10.0,11.0
Muramba,,,,,,,12.0
Phulala Sugandh Maticha,9.0,6.0,8.0,8.0,8.0,8.0,8.0
Pinkycha Vijay Aso,,,,,12.0,,
Rang Majha Vegla,4.0,3.0,3.0,4.0,3.0,3.0,2.0
Sahakutumba Sahaparivar,,,,,,,14.0
Sukh Mhanje Nakki Kay Asta,2.0,4.0,4.0,5.0,5.0,5.0,5.0
Swabhimaan,6.0,7.0,7.0,7.0,7.0,7.0,7.0
Thipkyanchi Rangoli,3.0,2.0,1.0,1.0,1.0,2.0,3.0
Tujhya Majhya Sansarala Ani Kai Hava,,,,,,,19.0
Yeu Kashi Tashi Me Nandayla,10.0,10.0,,10.0,10.0,,10.0
