Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Aai Kuthe Kay Karte,41.6,42.3,39.6,39.6,40.1,41.9,41.2,41.2
Aboli,,,,,,,20.8,
Chala Hawa Yeu Dya,,,,,,,17.9,
Devmanus S2,32.5,31.6,28.6,29.5,27.3,25.4,27.6,26.4
Jeev Majha Guntala,,,,,,,19.8,
Lagnachi Bedi,,,,,19.9,,18.6,
Majhi Tujhi Reshimgath,35.9,37.6,35.9,40.3,35.4,36.8,37.2,35.4
Man Udu Udu Jhala,31.6,30.4,34.2,35.2,32.9,33.1,34.0,30.1
Masta Majedar Kitchen Kallakar,,,,,,,22.0,
Me Honar Superstar Chote Ustad,,,,,,,15.4,
Mulgi Zali Ho,,,29.8,,,24.9,23.9,
Muramba,,,,,,,22.1,
Phulala Sugandh Maticha,30.0,34.3,30.6,30.8,29.6,27.6,29.8,29.6
Pinkycha Vijay Aso,,,,,17.4,,,
Rang Majha Vegla,36.8,38.6,37.2,37.2,39.6,37.2,39.6,39.6
Sahakutumba Sahaparivar,,,,,,,21.7,
Sukh Mhanje Nakki Kay Asta,40.3,38.4,36.4,36.1,34.2,35.8,36.9,33.9
Swabhimaan,34.3,33.2,33.1,33.7,30.1,30.5,32.1,27.2
Thipkyanchi Rangoli,38.4,40.7,41.2,42.3,42.4,39.6,37.6,37.2
Tujhya Majhya Sansarala Ani Kai Hava,,,,,,,16.2,
Yeu Kashi Tashi Me Nandayla,29.2,29.6,,27.2,25.7,,25.4,24.1
