Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25
Aai Kuthe Kay Karte,6.1,6.6,6.7,6.5,6.3,6.6,6.7,6.6,6.5,6.8,6.5,6.6,6.8,6.4,6.0,6.4,6.5,6.3,6.2,6.1,6.3,6.5,6.6,6.4,6.2
Aai Mayeche Kavach,1.1,,0.6,0.6,0.9,0.7,0.8,0.8,,,,,,1.2,1.4,1.4,,1.1,1.2,1.1,1.1,1.0,0.6,,1.0
Abhalachi Maya,,,,,,,,,,,,,,,,,,,,,,0.14,,,
Abhalachi Maya - I,,,,,,,,,,,,,,,,,,,,,0.23,,,,
Aboli,2.8,1.7,1.4,2.0,2.2,2.4,2.1,3.1,3.1,3.0,3.0,2.6,2.6,3.4,3.4,3.4,3.9,3.2,3.2,3.0,3.1,3.3,3.4,3.1,3.2
Ajunahi Barsaat Ahe,,,0.7,,,,,0.5,,0.6,,,,,,,,,,,,,,,
Ardhavatrao Not Out,,,,,,,,,,,,,,,,,,,,,,1.2,,,
Balumamachya Navana Changbhala,0.5,,0.5,0.5,0.5,0.5,,,,,,,,1.1,1.1,1.1,,1.0,1.0,1.0,1.0,1.0,0.4,,1.0
Balumamachya Navana Changbhala - II,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,
Band Baaja Varat - Celibritincha Lagna Jorat,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Band Baja Varat - Zee Marathicha Aher Tumchya Gharat,,,,,,,,,,,0.7,,,0.7,1.6,1.5,,1.4,1.3,1.3,1.2,1.2,,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,1.3,1.5,1.5,,1.5,1.6,1.6,1.7,1.7,1.0,1.0,1.7
Bola Jai Bhim,,,,,,,,,,,,,,,0.7,,,,,,,,,,
Boss Majhi Ladachi,,,,,,,,,1.1,0.7,,,0.6,0.7,,,,0.8,0.9,1.1,,1.3,0.6,,0.7
Chala Hawa Yeu Dya,1.6,1.3,1.2,1.7,1.6,1.9,1.3,2.1,1.9,1.6,1.6,1.7,1.4,2.8,2.8,2.7,2.1,2.7,2.8,2.7,2.8,2.7,2.0,2.1,2.0
Colors Marathi Awards 2021-22,,,,,,,,,,,,,1.7,,,,,,,,,,,,
Criminals Chahul Gunhegaranchi,,,0.1,,,,,,,,,,,,,,,,,,,,,,
Devmanus S2,3.7,2.1,1.8,2.8,2.8,3.0,2.9,3.2,3.0,2.6,1.8,2.3,1.5,2.5,2.5,2.6,1.8,2.7,2.8,2.7,2.7,2.6,1.8,1.8,1.7
Dnyaneshwar Mauli,,,,,,,,,,,,,,,,,,,,,,0.3,,,
Filmfare Awards Marathi 2021,,,,,,,,,,,,,,0.9,,,,,,,,,,,
Garjato Marathi,,,,,,,,,0.8,,,,,,,,,,,,,,,,
Gatha Navanathanchi,,,,,,,,,,,,,,,,,,,,,,0.2,,,
Ghetala Vasa Taku Nako,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,,0.4,,,0.6,,,,,,,,,,,
He Tar Kahich Nay,0.7,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,
Home Minister,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,,0.6,,,0.6,,,,,,,,,,,
Indian Idol Marathi S1,,,0.6,,,0.4,,0.4,,,,,,,,,,,,,,,,,
Jai Hanuman,,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,
Jai Jai Swami Samarth,0.8,,0.4,0.6,0.8,0.8,0.7,0.7,,,,,,1.8,1.8,1.7,,1.7,1.6,1.6,1.7,1.9,0.7,,1.8
Jau Nako Dur Baba,,,,,,,,,,,,,,,,,,,,,0.24,0.35,,,
Jeev Majha Guntala,1.3,,1.0,1.2,1.4,1.5,1.5,1.3,1.5,1.4,1.3,,1.3,2.2,2.2,2.0,1.5,2.2,2.2,2.0,2.2,2.4,1.6,1.6,2.3
Kanyadaan,,,,,,,,,,,,,,,,,,,,,0.31,0.36,,,
Kkusum,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,
Kon Honar Karodpati,,,,,,,,,,,,,,,,,,,,,,,0.6,,
Lagnachi Bedi,,,,,0.7,0.9,0.8,1.0,1.0,0.9,1.2,,1.3,2.8,2.8,2.8,1.7,2.8,2.8,2.8,2.9,3.1,2.4,2.6,2.5
Lek Majhi Durga,,,,,,,,,,,,,,0.6,0.7,0.7,,0.5,0.5,0.5,0.5,0.5,0.4,,0.5
Lek Majhi Durga - I,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,
Mahaminister,,,,,,,,,,,,,,,1.2,1.2,,1.3,1.4,1.4,1.4,1.3,0.5,0.7,0.7
Maharashtracha Favorite Kon Suvarnadashak Sohala,,,1.4,,,,,,,,,,,,,,,,,,,,,,
Maharashtrachi Hasyajatra,,,0.8,,,,,,,0.8,,,0.8,0.7,,,,,1.3,1.3,,1.2,,,
Majhi Manasa,,,,,,,,,,,,,,,,,,,,,,0.44,,,
Majhi Tujhi Reshimgath,5.1,4.6,5.4,4.5,4.6,4.1,4.6,4.8,4.6,4.2,4.4,3.6,4.6,4.3,4.4,4.3,4.9,4.2,4.3,4.2,4.3,4.5,5.0,5.5,5.3
Man Jhala Bajind,2.1,1.4,1.2,1.6,1.3,1.3,1.2,1.6,1.3,1.3,1.1,,1.0,1.9,1.7,1.7,,1.7,1.7,1.6,1.6,1.5,1.0,1.2,
Man Udu Udu Jhala,3.1,2.0,2.9,3.3,3.6,3.1,3.1,3.7,3.4,3.1,3.1,2.5,2.1,3.3,3.4,3.4,3.5,3.6,3.6,3.5,3.6,3.4,3.7,3.4,3.6
Masaledar Kitchen Kallakar,,,,,,,,,,,2.1,2.1,1.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.5,1.4,1.4
Masta Majedar Kitchen Kallakar,2.5,1.5,1.5,2.0,1.9,2.1,1.7,2.4,2.3,2.4,,,,,,,,,,,,,,,
Mata Sanman 2022,,,,,,,,,,,,,,,,,,,,1.7,,,,,
Me Honar Superstar - Chote Ustad - Grand Finale,,,,,,,,,,,,,,,,,,,3.5,,,,,,
