Show,Channel,Type,Platform,Time
Aai Kuthe Kay Karte,Star Pravah,Fiction,Hotstar,['19:30']
Aai Mayeche Kavach,Colors Marathi,Fiction,Voot,['22:00']
Abhalachi Maya,Sun Marathi,Fiction,SunNXT,['19:00']
Abhalachi Maya - I,Sun Marathi,Fiction,SunNXT,['20:00']
Aboli,Star Pravah,Fiction,Hotstar,['22:30']
Ajunahi Barsaat Ahe,Sony Marathi,Fiction,SonyLiv,['20:00']
Ardhavatrao Not Out,Zee Marathi,Event,Zee5,[]
Balumamachya Navana Changbhala,Colors Marathi,Fiction,Voot,['19:30']
Balumamachya Navana Changbhala - II,Colors Marathi,Fiction,Voot,['22:30']
Band Baaja Varat - Celibritincha Lagna Jorat,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
Band Baja Varat - Zee Marathicha Aher Tumchya Gharat,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
Bhagya Dile Tu Mala,Colors Marathi,Fiction,Voot,['21:30']
Bola Jai Bhim,Sony Marathi,Event,SonyLiv,[]
Boss Majhi Ladachi,Sony Marathi,Fiction,SonyLiv,['20:30']
Chala Hawa Yeu Dya,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
Colors Marathi Awards 2021-22,Colors Marathi,Event,Voot,[]
Criminals Chahul Gunhegaranchi,Sony Marathi,Fiction,SonyLiv,"['22:30', '23:00']"
Devmanus S2,Zee Marathi,Fiction,Zee5,['22:30']
Dnyaneshwar Mauli,Sony Marathi,Fiction,SonyLiv,['19:00']
Filmfare Awards Marathi 2021,Zee Marathi,Event,Zee5,[]
Garjato Marathi,Zee Marathi,Event,Zee5,[]
Gatha Navanathanchi,Sony Marathi,Fiction,SonyLiv,['18:30']
Geeta,Colors Marathi,Fiction,Voot,['12:30']
Ghetala Vasa Taku Nako,Zee Marathi,Fiction,Zee5,['18:30']
He Tar Kahich Nay,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
Home Minister,Zee Marathi,Non-Fiction,Zee5,['18:00']
Indian Idol Marathi S1,Sony Marathi,Non-Fiction,SonyLiv,"['21:30', '21:00']"
Jai Hanuman,Sun Marathi,Fiction,SunNXT,['18:00']
Jai Jai Swami Samarth,Colors Marathi,Fiction,Voot,['20:00']
Jau Nako Dur Baba,Sun Marathi,Fiction,SunNXT,['19:30']
Jeev Majha Guntala,Colors Marathi,Fiction,Voot,['20:30']
Kanyadaan,Sun Marathi,Fiction,SunNXT,['20:30']
Kkusum,Sony Marathi,Fiction,SonyLiv,['20:30']
Kon Honar Karodpati,Sony Marathi,Non-Fiction,SonyLiv,"['21:00', '21:30']"
Lagnachi Bedi,Star Pravah,Fiction,Hotstar,['13:00']
Lajjat Maharashtrachi,Colors Marathi,Non-Fiction,Voot,"['15:00', '14:30']"
Lek Majhi Durga,Colors Marathi,Fiction,Voot,['22:30']
Lek Majhi Durga - I,Colors Marathi,Fiction,Voot,['19:30']
Mahaminister,Zee Marathi,Non-Fiction,Zee5,"['18:30', '18:00']"
Mahaminister - Grand Finale,Zee Marathi,Event,Zee5,[]
Maharashtracha Favorite Kon Suvarnadashak Sohala,Zee Marathi,Event,Zee5,[]
Maharashtrachi Hasyajatra,Sony Marathi,Non-Fiction,SonyLiv,"['21:30', '21:00']"
Majhi Manasa,Sun Marathi,Fiction,SunNXT,['20:00']
Majhi Tujhi Reshimgath,Zee Marathi,Fiction,Zee5,['20:30']
Man Jhala Bajind,Zee Marathi,Fiction,Zee5,['19:00']
Man Udu Udu Jhala,Zee Marathi,Fiction,Zee5,['19:30']
Masaledar Kitchen Kallakar,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
Masta Majedar Kitchen Kallakar,Zee Marathi,Non-Fiction,Zee5,"['22:00', '21:30']"
