Show,Channel,Type,Platform
Aai Kuthe Kay Karte,Star Pravah,Fiction,Hotstar
Aai Mayeche Kavach,Colors Marathi,Fiction,Voot
Aboli,Star Pravah,Fiction,Hotstar
Balumamachya Navana Changbhala,Colors Marathi,Fiction,Voot
Bhagya Dile Tu Mala,Colors Marathi,Fiction,Voot
Devmanus S2,Zee Marathi,Fiction,Zee5
Gatha Navanathanchi,Sony Marathi,Fiction,SonyLiv
Jai Jai Swami Samarth,Colors Marathi,Fiction,Voot
Jeev Majha Guntala,Colors Marathi,Fiction,Voot
Lagnachi Bedi,Star Pravah,Fiction,Hotstar
Lek Majhi Durga,Colors Marathi,Fiction,Voot
Mahaminister,Zee Marathi,Non-Fiction,Zee5
Majhi Tujhi Reshimgath,Zee Marathi,Fiction,Zee5
Man Jhala Bajind,Zee Marathi,Fiction,Zee5
Man Udu Udu Jhala,Zee Marathi,Fiction,Zee5
Masta Majedar Kitchen Kallakar,Zee Marathi,Non-Fiction,Zee5
Mulgi Zali Ho,Star Pravah,Fiction,Hotstar
Muramba,Star Pravah,Fiction,Hotstar
Phulala Sugandh Maticha,Star Pravah,Fiction,Hotstar
Pinkycha Vijay Aso,Star Pravah,Fiction,Hotstar
Raja Ranichi Ga Jodi,Colors Marathi,Fiction,Voot
Rang Majha Vegla,Star Pravah,Fiction,Hotstar
Sahakutumba Sahaparivar,Star Pravah,Fiction,Hotstar
Satyavan Savitri,Zee Marathi,Fiction,Zee5
Sukh Mhanje Nakki Kay Asta,Star Pravah,Fiction,Hotstar
Sundara Manamadhye Bharali,Colors Marathi,Fiction,Voot
Swabhimaan,Star Pravah,Fiction,Hotstar
Swarajya Saudamini Tararani,Sony Marathi,Fiction,SonyLiv
Thipkyanchi Rangoli,Star Pravah,Fiction,Hotstar
Tu Tevha Tashi,Zee Marathi,Fiction,Zee5
Tujhech Mi Geet Gaat Ahe,Star Pravah,Fiction,Hotstar
Tujhya Majhya Sansarala Ani Kai Hava,Zee Marathi,Fiction,Zee5
Tujhya Rupacha Chandana,Colors Marathi,Fiction,Voot
