Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27
Aai Kuthe Kay Karte,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aboli,,,,,,,15.0,,16.0,,,,,,,,,,,,,,,,17.0,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,
Chala Hawa Yeu Dya,,,,,,,18.0,,17.0,,,,,,,,,,,,,,,,12.0,,
Devmanus S2,7.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,,,,,,,,,,,,,14.0,,
Jeev Majha Guntala,,,,,,,16.0,,18.0,,,,,,,,,,,,,,,,15.0,,
Lagnachi Bedi,,,,,11.0,,17.0,,10.0,,,,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Majhi Tujhi Reshimgath,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,6.0
Man Jhala Bajind,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
Man Udu Udu Jhala,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0
Masaledar Kitchen Kallakar,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
Masta Majedar Kitchen Kallakar,,,,,,,13.0,,15.0,,,,,,,,,,,,,,,,,,
Me Honar Superstar Chote Ustad,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
Mulgi Zali Ho - I,,,9.0,,,10.0,11.0,,12.0,,,,,,,,,,,,,,,,,,
Muramba,,,,,,,12.0,,13.0,,,,,,,,,,,,,,,,13.0,,
Phulala Sugandh Maticha,9.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
Pinkycha Vijay Aso,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
Rang Majha Vegla,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0
Sahakutumba Sahaparivar,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,16.0,,
Sukh Mhanje Nakki Kay Asta,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,3.0
Sundara Manamadhye Bharali,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
Swabhimaan,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,3.0,3.0,6.0,7.0,8.0,8.0
Thipkyanchi Rangoli,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0
Tu Tevha Tashi,,,,,,,,,,,,8.0,8.0,10.0,9.0,9.0,9.0,,,,,,,,11.0,,
Tujhech Mi Geet Gaat Ahe,,,,,,,,,,,,,,,,,,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Tujhya Majhya Sansarala Ani Kai Hava,,,,,,,19.0,,20.0,,,,,,,,,,,,,,,,,,
Yeu Kashi Tashi Me Nandayla,10.0,10.0,,10.0,10.0,,10.0,10.0,11.0,10.0,9.0,,,,,,,,,,,,,,,,
